o	k	id	parent	pri	m
1	fam	structured-text		P1	true
2	fam	semantic-web		P0	true
3	fam	source-code		P1	true
4	fam	enterprise-legacy-code		P0	true
5	fam	shell-sql		P0	true
6	fam	formal-planning		P1	true
7	fam	build-package		P0	true
8	fam	api-idl		P0	true
9	fam	tabular-analytics		P0	true
10	fam	database-schema		P0	true
11	fam	documents-office		P1	true
12	fam	process-event		P0	true
13	fam	enterprise-architecture		P0	true
14	fam	cloud-iac		P0	true
15	fam	cicd-sdlc		P0	true
16	fam	observability-network		P0	true
17	fam	security-governance		P0	true
18	fam	binary-package		P0	true
19	fam	mainframe-enterprise		P0	true
20	fam	collaboration-pim		P1	true
21	fam	ai-ml-design		P1	true
22	fam	industrial-iot		P1	true
23	fam	geospatial-media		P1	true
24	fam	opaque		P0	true
25	fmt	json	structured-text	P0	
26	fmt	json5	structured-text		
27	fmt	jsonl	structured-text	P0	
28	fmt	ndjson	structured-text	P0	
29	fmt	yaml	structured-text	P0	
30	fmt	toml	structured-text	P0	
31	fmt	xml	structured-text	P0	
32	fmt	ini	structured-text		
33	fmt	properties	structured-text		
34	fmt	dotenv	structured-text	P0	
35	fmt	hocon	structured-text		
36	fmt	edn	structured-text		
37	fmt	cue	structured-text		
38	fmt	jsonnet	structured-text		
39	fmt	dhall	structured-text		
40	fmt	plist	structured-text		
41	fmt	turtle	semantic-web		
42	fmt	trig	semantic-web		
43	fmt	rdfxml	semantic-web		
44	fmt	jsonld	semantic-web		
45	fmt	ntriples	semantic-web		
46	fmt	nquads	semantic-web		
47	fmt	rdfstar	semantic-web		
48	fmt	owl	semantic-web		
49	fmt	shacl	semantic-web		
50	fmt	shex	semantic-web		
51	fmt	sparql	semantic-web		
52	fmt	sparql-results	semantic-web		
53	fmt	csvw	semantic-web		
54	fmt	r2rml	semantic-web		
55	fmt	c	source-code	P0	
56	fmt	cpp	source-code	P0	
57	fmt	objective-c	source-code		
58	fmt	rust	source-code	P0	
59	fmt	go	source-code	P0	
60	fmt	java	source-code	P0	
61	fmt	kotlin	source-code		
62	fmt	scala	source-code		
63	fmt	csharp	source-code	P0	
64	fmt	fsharp	source-code		
65	fmt	vbnet	source-code		
66	fmt	swift	source-code		
67	fmt	javascript	source-code	P0	
68	fmt	typescript	source-code	P0	
69	fmt	python	source-code	P0	
70	fmt	ruby	source-code		
71	fmt	php	source-code		
72	fmt	perl	source-code		
73	fmt	lua	source-code		
74	fmt	dart	source-code		
75	fmt	zig	source-code		
76	fmt	nim	source-code		
77	fmt	haskell	source-code		
78	fmt	ocaml	source-code		
79	fmt	sml	source-code		
80	fmt	erlang	source-code		
