o	k	id	parent	pri	m
346	fmt	patch	cicd-sdlc		
347	fmt	diff	cicd-sdlc		
348	fmt	svn-dump	cicd-sdlc		
349	fmt	mercurial-bundle	cicd-sdlc		
350	fmt	gherkin	cicd-sdlc		
351	fmt	robot-framework	cicd-sdlc		
352	fmt	pact	cicd-sdlc		
353	fmt	postman	cicd-sdlc		
354	fmt	junit	cicd-sdlc		
355	fmt	nunit	cicd-sdlc		
356	fmt	trx	cicd-sdlc		
357	fmt	tap	cicd-sdlc		
358	fmt	lcov	cicd-sdlc		
359	fmt	cobertura	cicd-sdlc		
360	fmt	jacoco	cicd-sdlc		
361	fmt	jmh	cicd-sdlc		
362	fmt	criterion	cicd-sdlc		
363	fmt	benchmarkdotnet	cicd-sdlc		
364	fmt	k6	cicd-sdlc		
365	fmt	jmeter	cicd-sdlc		
366	fmt	gatling	cicd-sdlc		
367	fmt	otlp-protobuf	observability-network		
368	fmt	otlp-json	observability-network		
369	fmt	otel-semconv	observability-network		
370	fmt	otel-weaver-registry	observability-network		
371	fmt	prometheus	observability-network		
372	fmt	prometheus-rules	observability-network		
373	fmt	grafana-dashboard	observability-network		
374	fmt	syslog	observability-network		
375	fmt	journald-export	observability-network		
376	fmt	windows-evtx	observability-network		
377	fmt	auditd	observability-network		
378	fmt	json-log	observability-network		
379	fmt	chrome-trace	observability-network		
380	fmt	perfetto	observability-network		
381	fmt	jaeger	observability-network		
382	fmt	zipkin	observability-network		
383	fmt	cloudtrail	observability-network		
384	fmt	aws-config	observability-network		
385	fmt	azure-activity	observability-network		
386	fmt	gcp-audit	observability-network		
387	fmt	har	observability-network		
388	fmt	pcap	observability-network		
389	fmt	pcapng	observability-network		
390	fmt	netflow	observability-network		
391	fmt	ipfix	observability-network		
392	fmt	yang	observability-network		
393	fmt	openconfig	observability-network		
394	fmt	netconf	observability-network		
395	fmt	restconf	observability-network		
396	fmt	cisco-config	observability-network		
397	fmt	junos-config	observability-network		
398	fmt	arista-config	observability-network		
399	fmt	nftables	observability-network		
400	fmt	iptables-save	observability-network		
401	fmt	aws-iam	security-governance		
402	fmt	azure-rbac	security-governance		
403	fmt	gcp-iam	security-governance		
404	fmt	rego	security-governance		
405	fmt	cedar	security-governance		
406	fmt	xacml	security-governance		
407	fmt	odrl	security-governance		
408	fmt	sarif	security-governance		
409	fmt	spdx-json	security-governance		
410	fmt	spdx-tv	security-governance		
411	fmt	cyclonedx-json	security-governance		
412	fmt	cyclonedx-xml	security-governance		
413	fmt	swid	security-governance		
414	fmt	in-toto	security-governance		
415	fmt	slsa	security-governance		
416	fmt	sigstore-bundle	security-governance		
417	fmt	dsse	security-governance		
418	fmt	vex	security-governance		
419	fmt	csaf	security-governance		
420	fmt	scap	security-governance		
421	fmt	xccdf	security-governance		
422	fmt	oval	security-governance		
423	fmt	oscal-json	security-governance		
424	fmt	oscal-yaml	security-governance		
425	fmt	oscal-xml	security-governance		
426	fmt	x509	security-governance		
427	fmt	pem-public	security-governance		
428	fmt	jwk	security-governance		
429	fmt	jwks	security-governance		
430	fmt	ssh-config	security-governance		
431	fmt	elf	binary-package		
432	fmt	pe	binary-package		
433	fmt	macho	binary-package		
434	fmt	wasm	binary-package		
435	fmt	jvm-class	binary-package		
436	fmt	dotnet-assembly	binary-package		
437	fmt	llvm-ir	binary-package		
438	fmt	llvm-bitcode	binary-package		
439	fmt	wat	binary-package		
440	fmt	dwarf	binary-package		
441	fmt	source-map	binary-package		
442	fmt	jar	binary-package		
443	fmt	war	binary-package		
444	fmt	ear	binary-package		
445	fmt	python-wheel	binary-package		
446	fmt	python-sdist	binary-package		
447	fmt	npm-tarball	binary-package		
448	fmt	nuget-package	binary-package		
449	fmt	rubygem	binary-package		
450	fmt	rpm	binary-package		
451	fmt	deb	binary-package		
452	fmt	apk-package	binary-package		
453	fmt	zip	binary-package		
454	fmt	tar	binary-package		
455	fmt	gzip	binary-package		
456	fmt	bzip2	binary-package		
457	fmt	xz	binary-package		
458	fmt	zstd	binary-package		
459	fmt	sevenzip	binary-package		
460	fmt	rar	binary-package		
461	fmt	cobol-copybook	mainframe-enterprise		
462	fmt	ebcdic-fixed-record	mainframe-enterprise		
463	fmt	vsam-export	mainframe-enterprise		
464	fmt	cics-bms	mainframe-enterprise		
465	fmt	ims-dbd	mainframe-enterprise		
466	fmt	ibmi-dds	mainframe-enterprise		
467	fmt	sap-cds	mainframe-enterprise		
468	fmt	sap-idoc	mainframe-enterprise		
469	fmt	odata-metadata	mainframe-enterprise		
470	fmt	sap-transport	mainframe-enterprise		
471	fmt	salesforce-metadata	mainframe-enterprise		
472	fmt	salesforce-flow	mainframe-enterprise		
473	fmt	servicenow-update-set	mainframe-enterprise		
474	fmt	x12	mainframe-enterprise		
475	fmt	edifact	mainframe-enterprise		
476	fmt	ubl	mainframe-enterprise		
477	fmt	iso20022	mainframe-enterprise		
478	fmt	hl7-v2	mainframe-enterprise		
479	fmt	fhir	mainframe-enterprise		
480	fmt	eml	collaboration-pim		
481	fmt	mbox	collaboration-pim		
482	fmt	maildir	collaboration-pim		
483	fmt	msg	collaboration-pim		
484	fmt	pst	collaboration-pim		
485	fmt	ost	collaboration-pim		
486	fmt	slack-export	collaboration-pim		
487	fmt	teams-export	collaboration-pim		
488	fmt	discord-export	collaboration-pim		
489	fmt	ics	collaboration-pim		
490	fmt	vcf	collaboration-pim		
491	fmt	onnx	ai-ml-design		
492	fmt	safetensors	ai-ml-design		
493	fmt	gguf	ai-ml-design		
494	fmt	tensorflow-savedmodel	ai-ml-design		
495	fmt	tflite	ai-ml-design		
496	fmt	pytorch-model	ai-ml-design		
497	fmt	coreml	ai-ml-design		
498	fmt	mlflow	ai-ml-design		
499	fmt	huggingface-config	ai-ml-design		
500	fmt	model-card	ai-ml-design		
501	fmt	wandb-export	ai-ml-design		
502	fmt	prompt	ai-ml-design		
503	fmt	rag-config	ai-ml-design		
504	fmt	css	ai-ml-design		
505	fmt	scss	ai-ml-design		
506	fmt	less	ai-ml-design		
507	fmt	svg	ai-ml-design		
508	fmt	design-tokens	ai-ml-design		
509	fmt	storybook	ai-ml-design		
510	fmt	figma-export	ai-ml-design		
511	fmt	iec61131-st	industrial-iot		
512	fmt	plcopen-xml	industrial-iot		
513	fmt	opcua-nodeset	industrial-iot		
514	fmt	automationml	industrial-iot		
515	fmt	aas	industrial-iot		
516	fmt	dtdl	industrial-iot		
517	fmt	devicetree-dts	industrial-iot		
518	fmt	devicetree-dtb	industrial-iot		
519	fmt	kconfig	industrial-iot		
520	fmt	platformio	industrial-iot		
521	fmt	arduino	industrial-iot		
522	fmt	mqtt-schema	industrial-iot		
523	fmt	geojson	geospatial-media		
524	fmt	kml	geospatial-media		
525	fmt	kmz	geospatial-media		
526	fmt	geopackage	geospatial-media		
527	fmt	shapefile	geospatial-media		
528	fmt	wkt	geospatial-media		
529	fmt	wkb	geospatial-media		
530	fmt	geoparquet	geospatial-media		
531	fmt	png	geospatial-media		
532	fmt	jpeg	geospatial-media		
533	fmt	webp	geospatial-media		
534	fmt	tiff	geospatial-media		
535	fmt	unknown-opaque	opaque		
536	live	git-local		P0	true
537	live	github		P0	true
538	live	gitlab		P0	true
539	live	bitbucket		P1	true
540	live	svn		P1	true
541	live	mercurial		P1	true
542	live	postgres		P0	true
543	live	mysql		P0	true
544	live	sqlserver		P0	true
545	live	oracle		P0	true
546	live	db2		P0	true
547	live	snowflake		P0	true
548	live	bigquery		P0	true
549	live	databricks		P0	true
550	live	rest-api		P0	true
551	live	graphql-api		P0	true
552	live	grpc-api		P0	true
553	live	soap-api		P0	true
554	live	mcp		P0	true
555	live	kubernetes-api		P0	true
556	live	aws-control-plane		P0	true
557	live	azure-control-plane		P0	true
558	live	gcp-control-plane		P0	true
559	live	terraform-provider-schema		P0	true
560	live	container-runtime		P0	true
561	live	process-runtime		P0	true
562	live	filesystem-runtime		P0	true
563	live	github-actions-runtime		P0	true
564	live	gitlab-ci-runtime		P0	true
